n_records,mean_temperature,mean_dissolved_oxygen
199,14.18994974874372,4.725628140703518
220,13.171818181818182,5.139545454545455
233,14.021459227467812,5.3068669527897
607,13.201153212520593,6.016309719934102
332,12.718072289156625,7.382530120481928
255,13.140392156862745,6.3082352941176465
302,12.613576158940399,5.324503311258278
284,12.947887323943661,4.960915492957747
288,12.3875,6.196527777777778
301,12.256810631229236,6.677076411960133
306,13.029738562091502,5.377777777777777
282,13.86063829787234,6.6879432624113475
262,12.585496183206107,5.041603053435115
260,12.98423076923077,6.185
251,14.189641434262947,5.70398406374502
255,13.328627450980393,5.39843137254902
73,11.646575342465754,6.487671232876712
261,13.007662835249041,5.296934865900383
254,12.399606299212598,5.486614173228346
240,13.21125,5.635000000000001
241,11.195020746887966,5.337344398340249
280,12.613214285714285,5.1775
300,12.338333333333333,4.353000000000001
343,12.10466472303207,4.668513119533528
300,10.854333333333335,4.502
300,11.328999999999999,5.28
300,12.959666666666667,4.817333333333334
317,12.214826498422713,6.28801261829653
260,15.56,6.273384615384615
263,12.147908745247149,6.757262357414449
264,12.375378787878788,6.387878787878789
319,12.830470219435737,5.347021943573668
248,13.2625,5.310483870967742
238,13.360504201680673,5.468487394957983
245,12.780408163265305,5.212653061224489
243,14.778600823045267,6.618930041152264
679,14.04815905743741,6.874374079528718
371,13.9088948787062,7.371428571428572
290,12.994137931034484,7.376206896551724
334,12.671556886227545,6.322754491017965
319,12.85203761755486,6.553918495297805
340,11.41470588235294,7.329705882352941
376,10.475265957446808,7.023404255319149
338,12.311834319526627,6.661834319526626
320,12.20375,7.3
300,10.181000000000001,4.599666666666667
300,11.094333333333333,6.164666666666667
298,13.443624161073824,6.161744966442953
300,11.973666666666666,6.1386666666666665
82,10.809756097560975,7.904878048780488
299,12.35484949832776,5.372575250836121
359,11.075766016713091,6.653481894150418
371,13.730188679245282,6.981132075471698
128,10.86015625,5.578125
280,12.539642857142857,5.585357142857143
300,12.07,5.362666666666667
320,12.4140625,6.3490625000000005
300,10.758000000000001,4.760666666666666
300,11.386333333333333,4.844333333333333
300,13.158666666666667,5.212
305,11.515409836065572,6.6783606557377055
271,14.8309963099631,6.863690036900369
295,10.492203389830507,6.5245864406779654
280,10.238928571428572,5.789642857142857
359,11.126183844011143,6.0620055710306415
277,11.133574007220217,5.411191335740073
223,10.606278026905828,2.6874439461883406
224,9.927232142857141,2.283035714285714
209,11.597129186602873,2.4775119617224877
589,11.224957555178268,3.6096774193548384
323,10.959442724458205,4.144582043343654
272,9.977205882352942,3.1
322,10.150621118012422,2.4397515527950313
299,10.255183946488295,2.854180602006689
156,9.381410256410257,2.9391025641025643
152,10.800657894736842,3.9519736842105266
140,9.827142857142857,3.5185714285714287
80,8.93625,2.795
260,9.513846153846153,3.3603846153846155
80,11.07875,3.28
300,9.937333333333333,3.1146666666666665
80,9.60625,6.14875
355,10.21661971830986,8.011830985915493
18,10.583333333333334,3.561111111111111
227,13.558149779735682,4.7951982378854625
265,9.731320754716982,4.719811320754717
275,9.162909090909091,5.926181818181818
330,9.75969696969697,3.1003030303030306
259,9.822007722007722,2.0517374517374516
